fips,county,state,block_type,year
39097,Madison County,Ohio,B,2023.0
39103,Medina County,Ohio,B,2022.0
39123,Ottawa County,Ohio,B,2023.0
39137,Putnam County,Ohio,B,2023.0
39147,Seneca County,Ohio,B,2021.0
39169,Wayne County,Ohio,B,2023.0
47001,Anderson County,Tennessee,B,2018.0
47003,Bedford County,Tennessee,B,2018.0
47005,Benton County,Tennessee,B,2018.0
47007,Bledsoe County,Tennessee,B,2018.0
47009,Blount County,Tennessee,B,2018.0
47011,Bradley County,Tennessee,B,2018.0
47013,Campbell County,Tennessee,B,2018.0
47015,Cannon County,Tennessee,B,2018.0
47017,Carroll County,Tennessee,B,2018.0
47019,Carter County,Tennessee,B,2018.0
47021,Cheatham County,Tennessee,B,2018.0
47023,Chester County,Tennessee,B,2018.0
47025,Claiborne County,Tennessee,B,2018.0
47027,Clay County,Tennessee,B,2018.0
47029,Cocke County,Tennessee,B,2018.0
47031,Coffee County,Tennessee,B,2018.0
47033,Crockett County,Tennessee,B,2018.0
47035,Cumberland County,Tennessee,B,2018.0
47037,Davidson County,Tennessee,B,2018.0
47039,Decatur County,Tennessee,B,2018.0
47041,DeKalb County,Tennessee,B,2018.0
47043,Dickson County,Tennessee,B,2018.0
47045,Dyer County,Tennessee,B,2018.0
47047,Fayette County,Tennessee,B,2018.0
47049,Fentress County,Tennessee,B,2018.0
47051,Franklin County,Tennessee,B,2018.0
47055,Giles County,Tennessee,B,2018.0
47057,Grainger County,Tennessee,B,2018.0
47059,Greene County,Tennessee,B,2018.0
47061,Grundy County,Tennessee,B,2018.0
47063,Hamblen County,Tennessee,B,2018.0
47065,Hamilton County,Tennessee,B,2018.0
47067,Hancock County,Tennessee,B,2018.0
47069,Hardeman County,Tennessee,B,2018.0
47071,Hardin County,Tennessee,B,2018.0
47073,Hawkins County,Tennessee,B,2018.0
47075,Haywood County,Tennessee,B,2018.0
47077,Henderson County,Tennessee,B,2018.0
47079,Henry County,Tennessee,B,2018.0
47081,Hickman County,Tennessee,B,2018.0
47083,Houston County,Tennessee,B,2018.0
47085,Humphreys County,Tennessee,B,2018.0
47087,Jackson County,Tennessee,B,2018.0
